"token","provider","lead_cost","contact","purchase","lead_age","lead_duration","field_count","competitors"
1,"C",50,0,0,74,962,10,2
2,"C",50,0,0,47,617,9,3
3,"A",75,0,0,7,94,14,1
4,"C",75,0,0,29,104,15,1
5,"D",75,0,0,27,82,9,1
6,"C",25,0,0,1,2751,8,0
7,"C",25,0,0,1,2752,5,0
8,"C",50,1,0,4,64,9,0
9,"A",100,1,0,1,162,5,0
10,"B",25,0,0,23,2995,17,0
11,"D",100,0,0,38,28,17,0
12,"B",25,0,0,1,1655,22,0
13,"C",25,0,0,37,1150,8,0
14,"B",25,0,0,29,39,2,0
15,"C",50,0,0,12,689,13,0
16,"C",50,0,0,1,820,22,0
17,"C",50,0,0,4,882,20,2
18,"C",100,0,0,44,68,10,0
19,"D",50,0,0,1,1734,21,0
20,"D",75,0,0,60,28,7,1
21,"A",100,0,0,1,21,1,0
22,"A",100,0,0,77,114,20,0
23,"D",100,0,0,72,71,9,1
24,"C",50,0,0,33,703,3,0
25,"C",50,0,0,62,753,18,0
26,"C",25,0,0,33,1281,6,0
27,"A",75,0,0,38,114,4,1
28,"D",75,0,0,78,4,22,1
29,"C",25,0,0,30,852,7,0
30,"B",25,0,0,1,3202,14,0
31,"D",50,0,0,3,1046,2,0
32,"C",50,0,0,60,825,18,2
33,"B",25,0,0,72,896,9,0
34,"A",75,0,0,42,112,11,1
35,"B",25,0,0,32,1192,14,0
36,"A",100,1,1,1,537,22,0
37,"C",100,0,0,47,21,6,0
38,"C",50,0,0,30,680,9,2
39,"A",100,1,0,54,286,11,0
40,"C",50,0,0,61,726,21,2
41,"C",75,0,0,14,96,5,1
42,"C",25,0,0,34,1579,6,0
43,"B",50,0,0,23,647,7,2
44,"C",50,0,0,33,618,17,0
45,"B",25,0,0,46,117,5,0
46,"C",25,0,0,41,631,2,0
47,"D",50,0,0,28,890,10,0
48,"D",75,0,0,36,105,14,1
49,"D",75,0,0,42,32,12,1
50,"A",25,0,0,12,893,8,0
51,"C",50,0,0,22,618,2,0
52,"C",50,0,0,20,882,13,0
53,"C",100,1,1,26,515,13,0
54,"C",75,0,0,76,42,10,1
55,"D",75,0,0,16,31,7,1
56,"A",100,0,0,7,27,6,0
57,"B",25,0,0,1,1973,7,0
58,"C",75,1,0,1,213,10,0
59,"A",50,0,0,3,765,19,2
60,"C",50,0,0,48,941,20,0
61,"D",50,0,0,43,1501,23,0
62,"B",50,0,0,1,609,20,2
63,"C",75,0,0,1,2,21,1
64,"D",100,0,0,69,65,21,1
65,"A",25,0,0,37,3192,17,0
66,"C",75,1,1,1,431,22,1
67,"B",50,0,0,4,944,22,2
68,"B",100,0,0,18,22,16,0
69,"D",25,0,0,46,2081,21,0
70,"C",50,0,0,1,781,23,3
71,"A",50,0,0,76,621,4,2
72,"B",25,0,0,66,475,21,0
73,"D",75,0,0,47,95,13,1
